Attributes,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Symbols,700.HK,175.HK,700.HK,175.HK,700.HK,175.HK,700.HK,175.HK,700.HK,175.HK
Date,,,,,,,,,,
2019/1/2,302.657,12.0644,310.948,12.7341,302.258,11.9895,310.948,12.6581,15926119.76,45654139.47
2019/1/3,301.084,11.0792,305.414,11.7301,298.904,10.7814,300.099,11.7104,16633960.23,110331690.6
2019/1/4,306.608,11.0407,307.006,11.1532,296.545,10.5397,296.545,10.6512,19580881.06,70902059.89
2019/1/7,313.516,10.7074,314.7,11.4697,309.564,10.6512,313.914,11.3958,25215251.11,74214378.07
2019/1/8,311.545,9.49928,314.501,10.0575,307.991,9.37008,313.914,9.88883,16476833.71,204152864
2019/1/9,323.379,10.2981,323.379,10.5032,315.297,9.98154,315.695,10.2241,32293915.05,252747767.8
2019/1/10,324.773,10.2241,325.559,10.7814,319.049,10.094,324.773,10.3169,25232520.95,111998637.3
2019/1/11,326.932,10.3169,330.297,10.3908,324.972,10.0013,326.554,10.3908,20407673.36,61653907.72
2019/1/14,317.666,10.0013,325.36,10.3908,316.073,9.90757,325.36,10.3533,19224483.73,55565783.24
2019/1/15,325.758,10.4658,326.554,10.4835,319.049,10.019,320.821,10.019,17174637.19,60629868.95
2019/1/16,326.743,10.7074,326.743,10.7261,321.02,10.1502,325.758,10.3533,16605765.25,75840809.53
2019/1/17,326.932,10.7814,333.661,11.023,326.355,10.6887,330.685,10.8938,23449668.24,99417986.89
2019/1/18,332.665,11.3958,333.462,11.4885,329.51,10.9303,330.685,11.0052,15860783.92,83900143.34
2019/1/21,335.631,11.8415,339.971,11.9343,331.879,11.451,333.661,11.5062,19311343.33,103661375.8
2019/1/22,331.481,11.525,337.602,11.8968,326.554,11.1167,337.602,11.8603,21313283.61,75351344.94
2019/1/23,328.913,11.3761,331.282,11.5812,326.355,11.2656,326.355,11.525,16624789.3,48488435.74
2019/1/24,325.957,11.8415,328.714,11.8603,322.603,11.2459,327.928,11.4323,17336413.49,56708954.6
2019/1/25,339.374,12.4362,339.374,12.4362,329.112,11.6926,330.685,11.8603,31945795.46,111976482
2019/1/28,337.214,12.2696,344.52,12.8268,336.02,12.1009,339.971,12.8268,22531230.95,74987267.11
2019/1/29,337.99,11.7676,338.389,12.0457,332.466,11.4697,334.835,12.027,16004595.11,114341702.6
2019/1/30,339.772,11.7676,339.772,11.8603,334.636,11.4697,337.602,11.6749,13258978.61,62951899.43
2019/1/31,341.544,12.3248,346.48,12.3988,340.767,11.8228,345.296,11.9343,24503542.53,72374604.86
2019/2/1,343.524,12.2696,347.476,12.3988,340.966,11.9895,347.476,12.379,14154766.88,41177888.85
2019/2/4,343.126,12.3248,344.52,12.4362,340.369,12.1394,344.52,12.2696,5931748.106,14830151.48
2019/2/8,341.156,12.1571,342.927,12.1759,333.661,11.8228,338.787,12.0082,15097645.59,35496080.22
2019/2/11,347.476,12.7706,348.272,12.956,339.374,12.0082,341.544,12.0822,17576843.97,70506371.49
2019/2/12,346.879,13.3288,348.461,13.5881,343.723,12.9195,346.291,13.0122,15200584.46,151129644.1
2019/2/13,343.325,13.9422,345.893,13.9797,340.966,13.2726,344.709,13.4777,23178111.06,103858902.6
2019/2/14,337.413,13.7371,341.355,13.9797,336.219,13.4402,341.156,13.9797,19525860.51,64998913.32
2019/2/15,329.51,13.0122,335.631,13.4777,326.932,12.9382,333.661,13.4777,18797173.45,79873412.9
2019/2/18,335.432,13.4027,337.015,13.5142,330.685,12.9935,330.685,13.2163,12197041.57,59792529.81
2019/2/19,332.466,13.4027,339.374,13.5704,332.466,13.2538,337.413,13.458,9430872.859,48234674.02
2019/2/20,336.617,13.8672,339.772,13.9225,330.486,13.4215,335.631,13.5704,17325257.26,83180668.31
2019/2/21,338.787,14.2016,339.374,14.4067,334.437,13.7183,334.636,13.9422,11956398.1,84762586.4
2019/2/22,339.573,14.3505,339.573,14.4067,333.85,13.813,334.049,14.1276,13925037.49,52941151.05
2019/2/25,339.374,14.7598,344.321,15.0754,337.214,14.5921,343.524,14.7598,17401950.27,107616261.2
2019/2/26,338.588,14.314,340.767,14.8712,335.432,14.1463,340.568,14.8712,14008115.39,55729678.64
2019/2/27,335.821,13.9797,340.369,14.4817,334.636,13.8672,338.588,14.2391,15990279.1,59945197.5
2019/2/28,331.481,13.7006,338.189,14.1276,330.297,13.5881,337.602,14.0349,18967940.83,64202363.23
2019/3/1,331.879,14.3318,336.617,14.388,329.112,13.6809,333.064,13.8298,17228485.26,66773375.57
2019/3/4,342.34,14.0901,344.122,14.6296,330.685,13.9057,332.665,14.3505,28961492.64,100857911.4
2019/3/5,356.752,14.314,357.339,14.4442,339.374,13.8672,341.355,14.0349,37100552.4,60153028.31
2019/3/6,357.339,14.7036,365.242,14.9827,354.582,14.2016,360.505,14.314,30263075.48,94041873.59
2019/3/7,350.631,13.5704,357.14,14.314,348.66,13.4954,357.14,14.1651,17495714.19,207994633.8
2019/3/8,342.539,13.1236,347.078,13.4777,338.787,12.9195,343.524,13.1236,26203691.1,102412925.7
2019/3/11,350.233,12.9382,352.014,13.0487,342.927,12.7706,345.495,12.808,18632217.27,75154028
2019/3/12,356.354,13.0862,358.335,13.4402,353.786,12.8633,358.335,13.1424,16596108.04,82850418.63
2019/3/13,353.786,12.956,355.966,13.1059,351.427,12.7706,353.786,13.0684,12277630.82,36621464.48
