Date,TSLA.US,GM.US
2012/1/4,-0.013178419,0.004859255
2012/1/5,-0.021290186,0.04820395
2012/1/6,-0.007743363,0.033782556
2012/1/9,0.012636566,-0.003385237
2012/1/10,0.013574287,0.017387643
2012/1/11,0.022087296,0.052887654
2012/1/12,0.000706695,0.008307218
2012/1/13,-0.193274678,-0.015582035
2012/1/17,0.167178954,-0.003617372
2012/1/18,0.007894752,0.01283029
2012/1/19,-0.001863114,0.012614734
2012/1/20,-0.005980942,0.007247288
2012/1/23,0.006394749,-0.003155673
2012/1/24,0.024278998,-0.005241336
2012/1/25,0.020060175,0.005268953
2012/1/26,0.034676377,-0.008099299
2012/1/27,0.013476181,-0.014185665
2012/1/30,0.008182762,-0.00563218
2012/1/31,-0.016907367,-0.008699943
2012/2/1,0.01754386,0.014490087
2012/2/2,0.02265213,-0.00238941
2012/2/3,0.029752017,0.076852753
2012/2/6,0.020865135,0.019868832
2012/2/7,-0.006287736,-0.017885047
2012/2/8,0.010443021,-0.018007524
2012/2/9,0.020355433,-0.000348281
2012/2/10,-0.045428177,-0.009250329
2012/2/13,0.012540213,-0.006396045
2012/2/14,0.053350355,0.002400492
2012/2/15,0.012965048,-0.018492744
2012/2/16,0.017558036,0.089790109
2012/2/17,0.022813722,0.006285969
2012/2/21,-0.013438681,-0.010221012
2012/2/22,-0.008117391,-0.018885596
2012/2/23,0.009060504,0.008914715
2012/2/24,-0.022589053,-0.026663108
2012/2/27,-0.003853333,0.014985418
2012/2/28,0.005652894,-0.012072632
2012/2/29,-0.011832298,-0.00460369
2012/3/1,0.0299327,0.017201337
2012/3/2,-0.010754141,-0.000785619
2012/3/5,-0.007931857,-0.01692375
2012/3/6,-0.019544003,-0.054639428
2012/3/7,0.000303534,0.01221408
2012/3/8,-0.001508152,0.02293717
2012/3/9,0.050497353,0.006607873
2012/3/12,0.036558722,-0.008938672
2012/3/13,0.002220214,0.026801939
2012/3/14,-0.02216542,0.009581495
2012/3/15,-0.008220447,-0.010329997
2012/3/16,0.009145727,-0.018375951
2012/3/19,-0.009627676,-0.007029511
2012/3/20,-0.000570326,-0.011875573
2012/3/21,0.005431914,0.008096809
2012/3/22,-0.021337157,-0.009619634
2012/3/23,-0.009300886,0.004856535
2012/3/26,0.097416373,0.016296097
2012/3/27,0.014438522,-0.008952251
2012/3/28,-0.00237217,-0.007961653
2012/3/29,-0.013735817,0.006273675
2012/3/30,-0.002410926,0.013496233
2012/4/2,-0.017722855,0.043435741
2012/4/3,0.03909098,-0.045784548
2012/4/4,-0.079191002,-0.0170744
2012/4/5,-0.008284298,-0.009583821
2012/4/9,-0.04494382,-0.026593548
2012/4/10,-0.02081448,-0.020209452
2012/4/11,0.019408503,0.013368999
2012/4/12,0.010575703,0.011250784
2012/4/13,0.004485653,-0.020496801
2012/4/16,-0.039891396,-0.015983705
2012/4/17,-0.000311628,0.02635449
2012/4/18,0.013027315,0.004736518
2012/4/19,0.015312332,-0.005844303
2012/4/20,0,-0.017029707
2012/4/23,-0.036794275,-0.027518035
2012/4/24,-0.00375705,-0.002650162
2012/4/25,0.034256811,0.018259759
2012/4/26,0.017625342,0.017703704
2012/4/27,-0.004478942,-0.008125315
2012/4/30,-0.006298731,-0.022548375
2012/5/1,0.019618141,0.013506564
2012/5/2,0.004738011,-0.016265104
2012/5/3,-0.043607773,-0.024435451
2012/5/4,-0.019408503,-0.00040671
2012/5/7,0.020108388,0.002202938
2012/5/8,-0.070218555,-0.008137013
2012/5/9,-0.004307711,0.009601272
2012/5/10,0.096472056,-0.003173849
2012/5/11,-0.021539778,-0.016593749
2012/5/14,-0.067906977,-0.016590156
2012/5/15,-0.020958084,-0.009870891
2012/5/16,-0.008496432,0.022832907
2012/5/17,-0.020901338,-0.013638332
2012/5/18,-0.035355206,-0.019997594
2012/5/21,0.043906103,0.01704256
2012/5/22,0.070213764,-0.001743884
2012/5/23,0.007468322,0.02918402
2012/5/24,-0.022567698,-0.004029108
2012/5/25,-0.016820608,0.018198437
2012/5/29,0.063069546,0.018336509
2012/5/30,-0.040394382,-0.021123036
2012/5/31,-0.029921128,-0.007460215
2012/6/1,-0.045762634,-0.008681196
2012/6/4,-0.009591457,-0.040798129
2012/6/5,0.001076038,0.00661795
2012/6/6,0.044424858,0.027215128
2012/6/7,-0.007543752,0.000946643
2012/6/8,0.039747598,0.009183862
2012/6/11,-0.031914947,-0.005988271
2012/6/12,0.018543988,0.01151504
2012/6/13,0.003712076,-0.013658399
2012/6/14,-0.012767866,-0.003137982
2012/6/15,0.017694824,-0.002670912
2012/6/18,0.064528586,-0.014400574
2012/6/19,0.007848606,0.01461098
2012/6/20,0.052666022,-0.012081179
2012/6/21,-0.047069272,-0.039088973
2012/6/22,0.049706431,-0.00182615
2012/6/25,-0.020127227,-0.033662642
2012/6/26,-0.045303602,-0.002983457
2012/6/27,0.011075627,-0.009514081
2012/6/28,-0.017210549,0.008223815
2012/6/29,-0.003820439,-0.005153693
2012/7/2,-0.028441994,-0.007553089
2012/7/3,0.008550973,0.056196042
2012/7/5,0.018590998,-0.006381962
2012/7/6,-0.007684918,-0.011156321
2012/7/9,0.016132623,-0.004326012
2012/7/10,-0.00698318,-0.020862791
2012/7/11,0.007675076,0.005100366
2012/7/12,0.037764142,-0.028605202
2012/7/13,0.047399083,0.014858242
2012/7/16,0.04992708,-0.012202797
2012/7/17,-0.072580746,0.011421328
2012/7/18,-0.035982063,0.023963928
2012/7/19,0.00373251,0.00353572
2012/7/20,-0.014874519,-0.038794605
2012/7/23,-0.035544252,-0.003007559
2012/7/24,-0.026746575,-0.014611811
2012/7/25,-0.029824112,-0.011568949
2012/7/26,-0.028326425,0.016522984
2012/7/27,0.049058032,0.02931235
2012/7/30,-0.073195651,-0.015784918
2012/7/31,0.002561248,0.018179621
2012/8/1,-0.042669584,-0.002624187
2012/8/2,-0.005714286,-0.026522463
2012/8/3,0.044827586,0.047047319
2012/8/6,0.036672167,-0.009488663
2012/8/7,0.070038787,0.028810707
2012/8/8,-0.03835035,-0.001966637
2012/8/9,0.0110038,0.013270668
2012/8/10,0.018019351,-0.005450209
2012/8/13,0.041082164,-0.003398153
2012/8/14,-0.056145332,-0.012648422
2012/8/15,-0.000678111,-0.003395542
2012/8/16,0.030612245,0.059037233
2012/8/17,-0.009569307,0.031848841
2012/8/20,-0.016664417,-0.006407001
2012/8/21,-0.013551361,-0.010768984
2012/8/22,0.028856014,0.004662089
2012/8/23,0.026043362,-0.01815518
2012/8/24,-0.040025968,-0.007576634
2012/8/27,-0.040001627,0.002012949
2012/8/28,0.013066737,-0.013168129
2012/8/29,-0.009761224,0.016993229
2012/8/30,0,-0.008690292
2012/8/31,0.003870116,0.011401343
2012/9/4,-0.013322253,-0.002124305
2012/9/5,-0.007105544,0.021257777
2012/9/6,0.02182888,0.031811259
2012/9/7,0.028024567,0.040972266
2012/9/10,-0.067461555,-0.016777049
2012/9/11,0.01570695,-0.00050336
2012/9/12,0.017266218,0.006982679
2012/9/13,0.04243289,0.017285074
2012/9/14,0.030870134,0.026011832
2012/9/17,0.070745311,-0.01409482
2012/9/18,-0.036877746,0.026473865
2012/9/19,-0.00925177,0.013129615
2012/9/20,-0.004830918,-0.013327032
2012/9/21,-0.028480583,0.01552405
2012/9/24,0.021320822,-0.017686918
2012/9/25,-0.097847358,-0.034570325
2012/9/26,-0.004338395,-0.005559117
2012/9/27,0.034493464,-0.008963203
2012/9/28,0.027730831,-0.018531498
2012/10/1,-0.004098361,0.014956581
2012/10/2,0.021949588,0.025554717
2012/10/3,-0.016781851,0.029945444
2012/10/4,0.003414682,0.010711203
2012/10/5,-0.017346939,0.006089717
2012/10/8,0.012461059,-0.009338693
2012/10/9,-0.030087179,-0.008162423
2012/10/10,0.001057457,-0.00563218
2012/10/11,-0.002815146,0.017732437
2012/10/12,-0.024009534,-0.008917278
2012/10/15,-0.011217418,0.001584668
2012/10/16,0.026712404,0.012689143
2012/10/17,0.027049132,0.010904897
2012/10/18,-0.027034201,0.019878643
2012/10/19,-0.010699021,-0.037868733
2012/10/22,0.003969005,0.001162754
2012/10/23,0.019389552,-0.030375978
2012/10/24,-0.034168661,-0.007535171
2012/10/25,0.003648796,-0.002622224
2012/10/26,-0.005090834,-0.014784665
2012/10/31,0.027430656,0.095426581
2012/11/1,0.039602218,0.006951558
2012/11/2,-0.011181379,0.004383057
2012/11/5,0.089285066,-0.008581723
2012/11/6,-0.011109524,0.024239867
2012/11/7,0.012520044,-0.044265574
2012/11/8,-0.007295486,-0.012456449
2012/11/9,-0.031619341,0.012981619
2012/11/12,0.024736189,0.008782265
2012/11/13,0.017510488,-0.017416762
2012/11/14,-0.007401784,-0.026224289
2012/11/15,-0.017844168,-0.011932674
2012/11/16,0.033095339,-0.001191895
2012/11/19,0.033919545,0.045182594
2012/11/20,0.002428611,-0.013179434
2012/11/21,-0.016059091,0
2012/11/23,-0.010472728,0.024666378
2012/11/26,0.004355742,0.000871336
2012/11/27,-0.00371863,-0.008664565
2012/11/28,0.032972057,0.010756488
2012/11/29,0.014453478,0.031992885
2012/11/30,0.003860196,-0.008040451
2012/12/3,0.023653129,-0.014343038
2012/12/4,-0.020797227,-0.003958933
2012/12/5,-0.005606195,-0.016041905
2012/12/6,0.005637801,-0.017234029
2012/12/7,0.007964602,0.025328375
2012/12/10,0.011707638,0.003544434
2012/12/11,0.020536563,0.006760508
2012/12/12,-0.000565476,0.007011291
2012/12/13,-0.046795169,-0.019888438
2012/12/14,0.005949113,-0.020447231
2012/12/17,0.01744898,0.009887707
2012/12/18,0.005524717,0.0258214
2012/12/19,0.000576756,0.066234991
2012/12/20,-0.005200817,0.005857713
2012/12/21,-0.012486222,-0.0006608
2012/12/24,0.008232341,0.012311381
2012/12/26,-0.020128384,-0.00131109
2012/12/27,0.002978569,0.01222938
2012/12/28,-0.013949243,-0.003890852
2012/12/31,0.019564992,0.035215113
2013/1/2,0.043990257,0.010413427
2013/1/3,-0.01668413,0.02367281
2013/1/4,-0.010642796,0.001211619
2013/1/7,-0.001744189,-0.006586193
2013/1/8,-0.019219597,-0.009727882
2013/1/9,-0.001184681,0.020306208
2013/1/10,-0.003272885,0.015716956
2013/1/11,-0.01848944,-0.002591769
2013/1/14,0.010633546,-0.001065943
2013/1/15,0.019243865,0.009042328
2013/1/16,0.00589823,-0.042194541
2013/1/17,0.008212622,0.006092532
2013/1/18,0.004070681,-0.00714865
2013/1/22,0.019410515,-0.022053144
2013/1/23,0.023017903,-0.002260492
2013/1/24,0.0275,0.007429211
2013/1/25,-0.000271695,0.010025244
2013/1/28,0.028393765,-0.008190968
2013/1/29,-0.00210229,-0.013239928
2013/1/30,-0.011332016,-0.017917512
2013/1/31,-0.00026386,0.005461227
2013/2/1,0.021058356,0.002720409
2013/2/4,-0.014620124,-0.007437757
2013/2/5,0.010333863,0.022582745
2013/2/6,0.0272738,-0.002309322
2013/2/7,0.007915507,-0.001904588
2013/2/8,-0.006079027,0.003451235
2013/2/11,-0.020898318,-0.00126474
2013/2/12,-0.013793615,0.000628616
2013/2/13,0.014778306,0.004169929
2013/2/14,-0.003901175,-0.032087549
2013/2/15,-0.032898215,0.000421534
2013/2/19,0.060477943,-0.002935448
2013/2/20,-0.018841626,-0.020942015
2013/2/21,-0.087699906,-0.021725681
2013/2/22,0.027017918,0.022551341
2013/2/25,-0.047907848,-0.028737313
2013/2/26,0.00145288,0.019024113
2013/2/27,0.019461254,0.021265362
2013/2/28,-0.007692308,-0.009163825
2013/3/1,-0.005167959,0.002240339
2013/3/4,0.026839827,-0.004327371
2013/3/5,0.030071669,0.01800354
2013/3/6,0.028379302,0.011964451
2013/3/7,0.014327389,-0.001066351
2013/3/8,0.006277784,0.004409804
2013/3/11,0.016376376,0.010906492
2013/3/12,0.00051023,0.002194493
2013/3/13,-0.003577454,-0.010673581
2013/3/14,-0.054643337,0.00322273
