Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/1/5,1112.37,959.19,17408.71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/6,1081.7,938.263,16883.19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/7,1097.55,930.657,16885.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/8,1119.32,948.587,17167.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/9,1127.48,959.453,17197.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/13,1114.13,959.19,17087.71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/14,1095.93,963.937,16795.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/15,1115.18,975.753,17108.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/16,1113.4,975.077,16864.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/19,1106.14,984.583,17014.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/20,1134.88,990.563,17366.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/21,1124.39,987.977,17280.48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/22,1123.91,992.333,17329.02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/23,1138.74,1001.16,17511.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/26,1144.69,987.577,17468.52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/27,1159.49,1006.86,17768.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/28,1158.43,991.243,17795.73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/29,1145.27,980.507,17606.22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/30,1132.8,972.9,17674.39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/2/2,1135.04,1005.1,17558.04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/3,1118.73,976.297,17335.85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/4,1145.11,1002.24,17678.74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/5,1134.16,1015.83,17504.62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015/2/6,1129.55,1028.05,17648.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/9,1140.96,1037.97,17711.93,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/10,1142.88,1044.08,17652.68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/12,1163.33,1056.72,17979.72,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015/2/13,1156.96,1054.68,17913.36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/16,1160.1,1069.62,18004.77,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/17,1156.08,1068.27,17987.09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/18,1179.34,1072.89,18199.17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/19,1185.11,1075.33,18264.79,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
