Date,Tesla,Nasdaq,GM,DJI,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2012/1/4,-1.31784188,-0.013591471,0.48592545,0.169713278,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/5,-2.129018638,0.811823166,4.820394971,-0.021902947,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012/1/6,-0.774336283,0.163304443,3.378255594,-0.449269876,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/9,1.263656633,0.08750215,-0.338523651,0.265131166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/10,1.357428702,0.969154437,1.738764317,0.563073877,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/11,2.20872956,0.305642923,5.288765358,-0.104473672,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/12,0.070669501,0.514246927,0.830721836,0.173260666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012/1/13,-19.32746784,-0.514919074,-1.558203483,-0.392590181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/17,16.71789539,0.642276633,-0.361737195,0.483092176,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/18,0.789475168,1.525981643,1.283029001,0.776153314,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/19,-0.186311425,0.672272548,1.261473363,0.357979005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012/1/20,-0.59809417,-0.05845793,0.72472875,0.764418195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/23,0.639474886,-0.090788388,-0.315567293,-0.091663208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/24,2.427899836,0.088715847,-0.524133615,-0.260212986,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/25,2.006017505,1.136494129,0.52689525,0.64067215,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/26,3.467637705,-0.46233381,-0.809929855,-0.175041703,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012/1/27,1.347618085,0.401742429,-1.418566501,-0.582427601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/30,0.818276199,-0.163675419,-0.563218023,-0.053236612,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/1/31,-1.690736711,0.067569009,-0.869994314,-0.164457567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012/2/1,1.754385965,1.223594803,1.449008744,0.661367808,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/2,2.265212982,0.400594045,-0.238940979,-0.086895252,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012/2/3,2.975201694,1.607872209,7.68527528,1.234277367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/6,2.086513505,-0.126305211,1.986883195,-0.132947397,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/7,-0.628773585,0.072019545,-1.788504695,0.257451657,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/8,1.044302145,0.405636208,-1.80075242,0.044649097,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/9,2.03554332,0.389936417,-0.034828081,0.050527982,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012/2/10,-4.54281768,-0.797682451,-0.925032947,-0.692217345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/13,1.254021309,0.947353196,-0.639604515,0.568773469,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/14,5.335035464,0.015009944,0.240049241,0.032934495,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/15,1.296504818,-0.545734234,-1.849274413,-0.755768627,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/16,1.755803571,1.509690208,8.979010917,0.963386916,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012/2/17,2.281372158,-0.272648952,0.628596851,0.354849009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/21,-1.343868092,-0.108747942,-1.022101155,0.122163389,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/22,-0.81173913,-0.522287075,-1.888559613,-0.208396159,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/23,0.906050418,0.811749745,0.89147154,0.355677979,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012/2/24,-2.2589053,0.228949807,-2.666310835,-0.013400397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/27,-0.385333333,0.0813159,1.498541838,-0.01109147,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/28,0.565289359,0.694500634,-1.207263226,0.181874065,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012/2/29,-1.183229814,-0.665269389,-0.460368991,-0.407916267,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012/3/1,2.993269969,0.744213638,1.720133655,0.217957438,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
