t,export_us,import_us,export_cn,import_cn,P_us,P_cn,C_us,C_cn,Y_us,Y_cn
1991Q1,"1,067,631,000","1,254,605,000",6679652.467,6752835.35,62,41,1.21E+12,,2.49E+12,
1991Q2,"1,444,178,000","1,924,225,000",11377675.83,5651131.892,62,42,2.42E+12,,2.51E+12,
1991Q3,"1,617,862,000","2,173,935,000",13107262.43,3761510.216,63,42,3.64E+12,,2.52E+12,
1991Q4,"2,068,294,000","2,657,516,000",17106409.27,4800522.542,63,43,4.85E+12,,2.53E+12,
1992Q1,"1,343,485,000","1,673,068,000",14043772.63,4373029.13,64,43,6.08E+12,,2.56E+12,
1992Q2,"1,921,953,000","2,186,062,000",16687678.64,18412398.61,64,44,7.34E+12,59036916092,2.59E+12,
1992Q3,"2,327,305,000","2,357,038,000",29642796.45,28992429.51,65,44,8.62E+12,1.25E+11,2.61E+12,
1992Q4,"3,006,083,000","2,686,534,000",33757204.01,42033995.15,65,46,9.93E+12,1.98E+11,2.64E+12,1.06E+11
1993Q1,"2,645,440,000","2,013,722,000",68733246.03,45518526.93,66,48,1.12E+13,2.57E+11,2.64E+12,1.23E+11
1993Q2,"3,980,021,000","2,130,423,000",104471639,50134804.61,66,51,1.26E+13,3.30E+11,2.66E+12,1.37E+11
1993Q3,"4,787,706,000","2,436,838,000",58319340.7,70525570.37,66,52,1.40E+13,4.12E+11,2.67E+12,1.53E+11
1993Q4,"5,563,323,000","4,051,856,000",54604591.29,92428833.3,67,54,1.54E+13,5.07E+11,2.71E+12,1.74E+11
1994Q1,"3,409,477,000","2,360,257,000",51910072.97,92900417.64,67,59,1.68E+13,5.61E+11,2.73E+12,1.94E+11
1994Q2,"5,141,481,000","3,413,468,000",79457271.57,134754928.6,68,62,1.83E+13,6.27E+11,2.77E+12,2.17E+11
1994Q3,"5,872,839,000","3,940,679,000",34494033.72,191150123.8,68,65,1.98E+13,7.02E+11,2.79E+12,2.36E+11
1994Q4,"6,997,581,000","4,262,289,000",48686406.82,203553797.3,69,69,2.13E+13,7.90E+11,2.82E+12,2.50E+11
1995Q1,"4,923,368,000","2,828,471,000",86610000,200950000,69,72,2.29E+13,8.62E+11,2.83E+12,2.63E+11
1995Q2,"6,302,054,000","4,317,797,000",62350000,200980000,70,74,2.45E+13,9.49E+11,2.84E+12,2.79E+11
1995Q3,"6,841,960,000","3,873,735,000",62170000,205150000,70,74,2.61E+13,1.05E+12,2.86E+12,3.04E+11
1995Q4,"6,676,509,000","5,103,155,000",71790000,204390000,70,76,2.77E+13,1.16E+12,2.88E+12,3.37E+11
1996Q1,"4,643,279,000","3,513,417,000",124808561.2,185891588,71,79,2.94E+13,1.25E+12,2.90E+12,3.70E+11
1996Q2,"6,178,515,000","3,856,850,000",130786600.5,201151304.2,72,80,3.11E+13,1.35E+12,2.95E+12,3.97E+11
1996Q3,"7,527,229,000","3,706,193,000",99808592.68,164355172.9,72,80,3.28E+13,1.46E+12,2.98E+12,4.23E+11
1996Q4,"8,381,594,000","5,102,483,000",187075329.3,150678970.6,73,82,3.46E+13,1.59E+12,3.01E+12,4.58E+11
1997Q1,"5,913,632,000","3,584,031,000",179181488.4,251338903.1,73,83,3.64E+13,1.69E+12,3.03E+12,4.95E+11
1997Q2,"8,199,970,000","3,819,679,000",119235543,247569556.7,73,83,3.82E+13,1.81E+12,3.08E+12,5.35E+11
1997Q3,"9,172,617,000","4,092,965,000",103502114.5,278530602.2,74,82,4.01E+13,1.93E+12,3.12E+12,5.76E+11
1997Q4,"9,457,714,000","4,793,124,000",243247439.6,284509986.6,74,82,4.20E+13,2.07E+12,3.14E+12,6.20E+11
1998Q1,"7,252,482,000","3,864,747,000",242393729,281869328.9,74,83,4.39E+13,2.18E+12,3.18E+12,6.67E+11
1998Q2,"9,395,025,000","3,755,525,000",102109272.8,275184796.6,75,82,4.59E+13,2.30E+12,3.21E+12,7.11E+11
1998Q3,"10,449,097,000","4,081,644,000",68208083.94,250095966.8,75,81,4.80E+13,2.43E+12,3.25E+12,7.64E+11
1998Q4,"10,904,000,000","5,295,367,000",87188914.24,295199907.7,75,81,5.01E+13,2.58E+12,3.30E+12,8.27E+11
1999Q1,"7,941,048,000","3,970,677,000",127557981.4,281539357.7,75,82,5.22E+13,2.70E+12,3.33E+12,8.97E+11
1999Q2,"9,877,718,156","4,913,607,774",115553360.7,296905870.9,76,80,5.44E+13,2.83E+12,3.36E+12,9.71E+11
1999Q3,"11,951,737,000","5,157,726,000",132336313.8,334025736.1,77,80,5.66E+13,2.97E+12,3.40E+12,1.04E+12
1999Q4,"12,232,583,844","5,446,653,226",135602344.1,327554035.4,77,81,5.88E+13,3.13E+12,3.46E+12,1.11E+12
2000Q1,"10,471,162,000","4,663,198,000",156217810,320761480,78,82,6.12E+13,3.26E+12,3.47E+12,1.21E+12
