t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_th,C_us,C_cn,C_th,Y_us,Y_cn
1991Q1,"954,739,766","1,269,410,760",93550424.19,"312,877,622",62,41,51.4,1.21E+12,,"5,586,037,323",2.49E+12,
1991Q2,"1,047,228,006","1,382,036,251",87599143.66,"295,866,046",62,42,52.5,2.42E+12,,"11,698,302,392",2.51E+12,
1991Q3,"1,023,758,611","1,755,959,272",72919847.79,"280,192,504",63,42,52.9,3.64E+12,,"18,480,630,489",2.52E+12,
1991Q4,"963,545,473","1,660,286,940",81129946.35,"260,509,091",63,43,53.6,4.85E+12,,"26,081,949,959",2.53E+12,
1992Q1,"1,187,065,187","1,567,748,312",88330348.18,"267,214,517",64,43,53.8,6.08E+12,,"34,530,403,964",2.56E+12,
1992Q2,"1,027,832,120","1,743,794,469",76120509.31,"362,594,378",64,44,54.6,7.34E+12,59036916092,"43,896,359,610",2.59E+12,
1992Q3,"1,330,837,229","2,029,827,499",86030730.11,"318,050,567",65,44,55.4,8.62E+12,1.25E+11,"54,417,052,993",2.61E+12,
1992Q4,"1,230,404,842","1,961,313,428",135277876.5,"271,612,238",65,46,55.3,9.93E+12,1.98E+11,"66,038,411,865",2.64E+12,1.06E+11
1993Q1,"1,396,990,974","1,809,058,792",124044819,"270,821,998",66,48,55.5,1.12E+13,2.57E+11,"78,101,072,604",2.64E+12,1.23E+11
1993Q2,"1,317,233,447","1,878,875,763",126178394.3,"271,621,299",66,51,56.3,1.26E+13,3.30E+11,"90,626,378,094",2.66E+12,1.37E+11
1993Q3,"1,233,960,591","2,179,960,314",118786372.4,"274,492,649",66,52,57.1,1.40E+13,4.12E+11,"103,843,700,300",2.67E+12,1.53E+11
1993Q4,"1,431,259,517","2,137,115,164",60720322.36,"87,587,698",67,54,57.5,1.54E+13,5.07E+11,"116,393,881,052",2.71E+12,1.74E+11
1994Q1,"1,460,585,137","2,010,827,598",141002253.6,"314,684,138",67,59,58.1,1.68E+13,5.61E+11,"129,714,881,242",2.73E+12,1.94E+11
1994Q2,"1,570,069,658","2,284,661,411",184244461.4,"328,059,226",68,62,59.1,1.83E+13,6.27E+11,"144,715,440,561",2.77E+12,2.17E+11
1994Q3,"1,561,004,314","2,719,910,744",298992755.1,"351,129,763",68,65,60.1,1.98E+13,7.02E+11,"159,695,938,064",2.79E+12,2.36E+11
1994Q4,"1,858,410,459","2,510,433,415",305517225.2,"394,290,382",69,69,60.5,2.13E+13,7.90E+11,"175,085,643,717",2.82E+12,2.50E+11
1995Q1,"2,039,543,437","2,304,172,400",422593575.8,"428,969,358",69,72,61.0,2.29E+13,8.62E+11,"192,417,645,400",2.83E+12,2.63E+11
1995Q2,"2,003,648,043","2,437,829,145",548977321.3,"542,813,140",70,74,62.3,2.45E+13,9.49E+11,"209,267,212,503",2.84E+12,2.79E+11
1995Q3,"2,015,054,711","2,773,937,079",263806176.5,"588,489,807",70,74,63.6,2.61E+13,1.05E+12,"226,959,552,262",2.86E+12,3.04E+11
1995Q4,"2,448,293,318","2,562,507,833",406817244.6,"535,231,508",70,76,64.8,2.77E+13,1.16E+12,"245,021,206,750",2.88E+12,3.37E+11
1996Q1,"2,393,414,973","2,310,299,001",501994228.8,"478,817,324",71,79,65.4,2.94E+13,1.25E+12,"263,156,538,682",2.90E+12,3.70E+11
1996Q2,"2,439,451,564","2,383,134,019",300859561,"493,028,694",72,80,66.2,3.11E+13,1.35E+12,"281,403,009,512",2.95E+12,3.97E+11
1996Q3,"2,290,786,961","2,733,388,681",455754301.3,"477,106,744",72,80,66.9,3.28E+13,1.46E+12,"300,820,180,659",2.98E+12,4.23E+11
1996Q4,"2,116,735,393","2,599,354,593",609716198,"504,159,842",73,82,67.7,3.46E+13,1.59E+12,"321,252,260,896",3.01E+12,4.58E+11
1997Q1,"2,606,802,226","2,382,593,505",424151029.7,"572,278,744",73,83,68.4,3.64E+13,1.69E+12,"337,832,034,933",3.03E+12,4.95E+11
1997Q2,"2,312,048,946","2,664,068,089",397742377,"609,467,569",73,83,69.0,3.82E+13,1.81E+12,"353,789,361,389",3.08E+12,5.35E+11
1997Q3,"1,762,339,747","3,100,547,328",433520020.2,"602,070,069",74,82,71.0,4.01E+13,1.93E+12,"367,352,189,962",3.12E+12,5.76E+11
1997Q4,"1,988,984,636","3,006,738,464",488239577.4,"476,318,362",74,82,72.8,4.20E+13,2.07E+12,"375,718,718,633",3.14E+12,6.20E+11
1998Q1,"1,736,881,338","2,875,270,152",489076889.1,"420,118,338",74,83,74.5,4.39E+13,2.18E+12,"381,823,347,821",3.18E+12,6.67E+11
1998Q2,"1,421,636,599","2,860,763,671",373782899.7,"449,115,166",75,82,76.1,4.59E+13,2.30E+12,"387,726,498,443",3.21E+12,7.11E+11
1998Q3,"1,368,098,674","3,327,578,286",407086877.4,"451,926,068",75,81,76.7,4.80E+13,2.43E+12,"394,376,154,220",3.25E+12,7.64E+11
1998Q4,"1,526,517,591","3,111,103,871",499328840.4,"500,437,314",75,81,76.4,5.01E+13,2.58E+12,"400,948,572,302",3.30E+12,8.27E+11
1999Q1,"1,768,371,459","2,640,570,376",408432152.5,"486,904,173",75,82,76.3,5.22E+13,2.70E+12,"406,978,586,256",3.33E+12,8.97E+11
1999Q2,"1,532,528,342","3,096,573,930",410703425.7,"569,059,105",76,80,75.8,5.44E+13,2.83E+12,"413,674,339,471",3.36E+12,9.71E+11
1999Q3,"1,427,328,935","3,390,150,631",474915627.4,"671,843,276",77,80,76.0,5.66E+13,2.97E+12,"420,569,009,704",3.40E+12,1.04E+12
1999Q4,"1,714,569,072","3,539,868,376",567264245.1,"766,838,640",77,81,76.4,5.88E+13,3.13E+12,"426,797,955,715",3.46E+12,1.11E+12
2000Q1,"1,762,424,132","3,289,864,615",703358531,"749,430,042",78,82,77.0,6.12E+13,3.26E+12,"434,499,782,505",3.47E+12,1.21E+12
2000Q2,"1,640,837,600","3,435,666,536",567838491,"913,688,534",79,80,77.0,6.35E+13,3.41E+12,"440,988,701,606",3.53E+12,1.34E+12
2000Q3,"1,852,935,661","4,113,643,907",655539493,"843,958,150",79,80,77.6,6.59E+13,3.56E+12,"447,943,737,316",3.54E+12,1.49E+12
2000Q4,"2,034,928,572","3,866,545,059",879408976,"869,840,260",80,82,77.7,6.83E+13,3.74E+12,"454,155,446,836",3.56E+12,1.61E+12
2001Q1,"2,258,472,669","3,236,239,214",670630721,"835,022,447",81,82,78.1,7.07E+13,3.88E+12,"461,395,910,766",3.55E+12,1.80E+12
2001Q2,"1,664,726,560","3,182,166,282",678216867,"906,380,867",81,82,78.9,7.31E+13,4.04E+12,"468,099,345,750",3.57E+12,1.96E+12
2001Q3,"1,766,143,507","3,592,428,406",752874109,"958,769,979",82,81,78.9,7.55E+13,4.22E+12,"475,060,642,682",3.55E+12,2.13E+12
2001Q4,"1,508,941,856","3,234,757,781",760993372,"1,010,563,671",81,81,78.5,7.79E+13,4.41E+12,"481,209,428,495",3.56E+12,2.31E+12
2002Q1,"1,616,458,321","2,923,036,341",702403738,"1,126,733,864",82,82,78.6,8.02E+13,4.57E+12,"488,446,651,073",3.59E+12,2.53E+12
2002Q2,"1,530,358,051","3,321,848,062",758921825,"1,199,281,306",82,81,79.2,8.26E+13,4.74E+12,"495,813,430,617",3.62E+12,2.78E+12
2002Q3,"1,504,914,190","3,792,818,938",922368154,"1,218,356,744",83,80,79.2,8.49E+13,4.93E+12,"503,959,019,909",3.63E+12,3.07E+12
2002Q4,"1,545,538,210","3,484,136,207",1169183307,"1,383,773,196",83,81,79.6,8.73E+13,5.14E+12,"510,662,550,142",3.63E+12,3.39E+12
2003Q1,"1,766,867,177","3,138,061,177",1325325134,"1,321,516,796",84,82,80.2,8.97E+13,5.32E+12,"518,839,701,245",3.65E+12,3.80E+12
2003Q2,"1,605,719,514","3,295,293,146",1319278049,"1,526,390,364",84,81,80.5,9.21E+13,5.52E+12,"527,424,541,672",3.69E+12,4.19E+12
2003Q3,"1,584,818,773","3,624,275,985",1387931944,"1,519,787,947",85,81,80.7,9.46E+13,5.73E+12,"536,718,588,050",3.75E+12,4.67E+12
2003Q4,"2,227,475,302","3,611,124,625",1674660798,"1,699,206,759",85,83,80.9,9.72E+13,5.97E+12,"545,771,591,406",3.79E+12,5.15E+12
2004Q1,"1,755,811,493","3,607,336,612",1645717744,"1,780,240,570",85,85,81.7,9.98E+13,6.18E+12,"555,760,195,535",3.81E+12,5.76E+12
2004Q2,"1,766,441,856","3,592,381,148",1592495683,"1,911,600,418",87,85,82.7,1.02E+14,6.42E+12,"566,407,510,660",3.84E+12,6.52E+12
2004Q3,"1,858,987,554","4,064,863,622",1800630627,"2,099,063,923",87,85,83.3,1.05E+14,6.67E+12,"577,269,174,953",3.88E+12,7.30E+12
2004Q4,"1,888,954,931","4,227,403,165",2058780292,"2,390,896,274",87,86,83.5,1.08E+14,6.95E+12,"588,737,359,809",3.92E+12,8.26E+12
2005Q1,"2,120,280,987","3,820,334,425",1909814530,"2,551,161,884",88,87,84.0,1.11E+14,7.19E+12,"601,898,921,973",3.96E+12,9.34E+12
2005Q2,"2,201,249,868","3,982,426,743",2051860905,"2,989,903,245",89,86,85.7,1.14E+14,7.47E+12,"615,257,454,855",3.98E+12,1.05E+13
2005Q3,"2,239,194,599","4,751,756,515",2574835892,"2,752,278,499",90,86,88.0,1.17E+14,7.76E+12,"628,371,974,819",4.01E+12,1.19E+13
2005Q4,"2,162,827,564","4,395,178,943",2568639706,"2,859,967,131",91,87,88.5,1.20E+14,8.09E+12,"641,210,739,516",4.03E+12,1.34E+13
2006Q1,"2,081,854,196","4,526,437,582",2583804236,"2,939,765,708",91,88,88.8,1.23E+14,8.39E+12,"655,485,504,060",4.09E+12,1.53E+13
2006Q2,"2,253,205,898","4,813,609,788",2593976952,"3,419,845,945",93,88,90.9,1.26E+14,8.72E+12,"670,765,266,656",4.10E+12,1.75E+13
2006Q3,"2,245,445,025","5,409,137,026",3151567732,"3,762,782,078",93,87,91.2,1.30E+14,9.07E+12,"685,594,298,001",4.11E+12,1.99E+13
2006Q4,"3,201,576,456","4,876,666,988",3481085316,"3,678,544,019",92,88,91.3,1.33E+14,9.47E+12,"700,776,364,384",4.14E+12,2.28E+13
2007Q1,"2,138,686,629","4,597,576,514",3087418938,"3,590,363,729",93,91,91.0,1.36E+14,9.84E+12,"716,243,317,382",4.15E+12,2.66E+13
2007Q2,"2,348,399,727","4,713,384,633",3481829445,"4,112,782,827",95,91,92.7,1.39E+14,1.03E+13,"733,224,568,207",4.18E+12,3.12E+13
2007Q3,"2,419,621,951","4,956,863,304",3946858809,"4,357,382,705",95,93,92.7,1.42E+14,1.07E+13,"750,245,396,373",4.20E+12,3.60E+13
2007Q4,"2,734,264,061","5,181,217,757",4328189370,"4,320,720,080",96,94,94.0,1.46E+14,1.13E+13,"767,767,327,372",4.23E+12,4.13E+13
2008Q1,"2,967,484,296","5,019,827,314",4203464173,"4,946,212,859",97,98,95.6,1.49E+14,1.17E+13,"787,238,943,749",4.21E+12,4.60E+13
2008Q2,"2,738,114,362","5,025,301,555",4146715321,"5,124,476,342",99,98,99.6,1.52E+14,1.23E+13,"807,535,869,476",4.24E+12,5.15E+13
2008Q3,"2,946,954,807","5,561,109,891",4460845527,"5,796,622,280",101,98,99.5,1.55E+14,1.29E+13,"826,902,502,743",4.21E+12,5.77E+13
2008Q4,"2,848,115,855","4,489,293,682",3217930845,"4,281,560,489",98,97,96.0,1.58E+14,1.36E+13,"844,924,130,650",4.12E+12,6.31E+13
2009Q1,"1,833,369,133","3,535,354,683",2917407287,"3,351,507,272",97,97,95.3,1.61E+14,1.41E+13,"859,125,057,613",4.07E+12,6.76E+13
2009Q2,"2,070,325,061","3,791,936,021",3891980810,"3,909,278,940",98,97,96.8,1.64E+14,1.47E+13,"874,948,486,238",4.07E+12,7.29E+13
2009Q3,"2,246,038,215","4,549,026,807",4235017086,"4,670,115,572",99,97,97.3,1.66E+14,1.54E+13,"892,185,044,622",4.08E+12,8.01E+13
2009Q4,"2,352,298,942","4,753,970,513",5027376351,"5,230,642,575",99,97,97.9,1.69E+14,1.61E+13,"910,151,582,470",4.13E+12,9.00E+13
2010Q1,"2,587,755,851","4,425,224,995",5035528481,"5,311,762,886",100,99,98.9,1.72E+14,1.67E+13,"928,684,431,328",4.15E+12,1.03E+14
2010Q2,"2,575,615,882","4,717,009,051",5008908808,"6,199,309,959",100,99,99.9,1.75E+14,1.75E+13,"949,071,106,940",4.19E+12,1.18E+14
