id,ROE,ROA,îÑè„çÇèÉóòâvó¶,âcã∆óòâvîÑè„çÇî‰ó¶,ëçéëéYâÒì]ó¶,CFîÑè„çÇî‰ó¶,EBITDAîÑè„çÇî‰ó¶,ICR,ïâç¬î‰ó¶,DEÉåÉVÉI,ó¨ìÆî‰ó¶,å≈íËî‰ó¶,îÑè„çÇêLÇ—ó¶,âcã∆óòâvêLÇ—ó¶,ÉgÅ[ÉrÉìÇÃQ
3457,6.952799003,1.782612924,3.616281764,4.184753225,0.854356247,1.561751757,5.681625087,3.373599004,66.61664791,251.894001,1.743953215,44.70817753,-4.208407937,-27.5862069,1.049403182
7777,56.26380182,19.14466492,-36.07143146,-16.67352163,1.118464261,-21.74895705,-16.67352163,-15.53694197,45.1501431,25.98129947,4.065384625,0,51.10958857,45.38756508,2.793417465
3726,-25.2765292,-14.03821326,-9.992835018,-6.527097683,0.924585903,-7.575913371,-1.597967095,-4.562424832,25.88910481,36.80291974,2.379700177,0.785760103,8.115629169,-26.2772045,2.405513777
5391,0.584387733,0.266914808,-0.276363971,4.414914442,1.074923566,-1.939153866,6.648856544,24.57692308,11.29612851,40.15655158,1.404223228,108.117092,5.181435008,-17.37068966,0.760431709
7745,13.76460397,8.519672488,9.643277731,13.13745658,0.951592655,12.36527883,15.81771835,27.03374233,19.67828418,30.50268081,2.268129939,30.14445927,8.276975224,10.7717446,1.106877819
6156,-2.328562724,-2.139296753,-13.91009181,5.321322945,0.18524153,17.84284453,16.83470106,,0.024534881,1.222949317,49.61678141,10.71438639,-0.668352951,-48.55673987,1.143542684
2982,16.10966348,4.599850377,4.909335897,7.382660937,1.024050917,4.680599772,7.729462633,5.799155773,63.49356905,222.3681092,4.586826761,54.36329635,35.30504088,55.36672318,1.002019442
9251,10.75914194,3.574989844,4.608318712,8.179378677,0.747838839,16.71999174,20.20332336,8.661202186,49.76548362,180.4045793,0.694974555,77.79259753,6.572072815,0.253004428,1.244817216
3856,17.74114375,2.974581967,1.314608448,4.989160004,0.667068002,7.87834937,13.77162821,3.048945148,38.66887971,229.4240367,1.109010288,189.1597807,-55.1495891,-62.37937298,0.773659486
8783,28.91019442,13.99111397,30.1849064,-56.93132425,,-27.13613978,-54.70360743,-9.106203292,26.28404769,61.69300955,1.458211588,0.045389977,,,1.670059095
