id,ROE,ROA,預貸金利鞘,総資金利鞘,経費率,預貸率,預証率,不良債権比率,自己資本比率,総資産
みずほ銀行,10.9,0.27,1.73,0.56,136.08,54.8,20.6,1.1,10.05,19.3
三菱ＵＦＪ銀行,13.2,0.17,1.94,0.57,250.74,50.3,32.3,0.8,12.3,19.53
三井住友銀行,18.8,0.42,2.07,0.71,96.13,59,21.2,0.51,10.01,19.37
りそな銀行,11.2,0.31,0.75,0.59,166.75,73.4,15.9,1,11.9,17.6
埼玉りそな銀行,11.5,0.24,0.79,0.5,177.12,49.2,18.2,1.24,15.55,16.77
北海道銀行,5.8,0.24,0.96,0.77,229.62,75.1,15.8,1.72,9.37,15.72
青森みちのく銀行,0.9,0.09,0.6,0.48,498.76,67.2,17.8,1.82,8.68,15.62
秋田銀行,6.6,0.14,0.87,0.79,422.1,64.6,27.4,2.74,11.79,15.05
北都銀行,3.2,0.14,1.1,1.01,545.83,69.9,18.3,1.9,9.33,14.21
荘内銀行,5.4,0.05,1.02,1,"1,442.67",73.4,23.8,1.92,10.39,14.18
山形銀行,4.5,0.01,0.88,0.85,"5,810.27",70.7,28.2,1,9.8,14.96
岩手銀行,5.4,0.27,0.89,0.84,226.56,64.5,35,2.58,11.09,15.15
東北銀行,5.9,0.29,1.16,0.99,290.14,75.8,23.4,2.85,8.99,13.82
七十七銀行,10,0.36,0.92,1,131.33,68.9,32.6,2.01,10.21,16.16
東邦銀行,6,0.16,0.69,0.59,318.22,65.7,19.6,1.35,10.27,15.71
群馬銀行,11.6,0.36,1.03,0.78,133.39,78.9,25.3,1.31,11.39,16.17
足利銀行,7.3,0.32,0.89,0.82,179.84,76.9,20.9,1.65,11.69,15.94
常陽銀行,8.2,0.24,0.9,0.72,188.85,72.4,25,1.11,12.47,16.39
筑波銀行,5,0.23,1.04,0.93,335.07,80.3,16,2.77,9.37,14.88
武蔵野銀行,6.8,0.3,0.9,0.85,209.41,81,20.7,1.61,12.64,15.51
千葉銀行,10,0.44,0.94,0.73,94.77,78.8,18.8,0.92,14.14,16.88
千葉興業銀行,6.4,0.22,0.93,0.91,354.87,80.4,17.3,1.7,9.18,14.99
きらぼし銀行,11.4,0.51,1.35,1.28,154.62,85.5,14.3,1.87,9.12,15.73
横浜銀行,11,0.47,1.03,0.82,97.5,79.1,13.5,1.13,13.71,16.92
第四北越銀行,8.5,0.3,0.92,0.67,170.58,63.9,32.9,2.11,9.42,16.2
山梨中央銀行,5,0.13,0.85,0.76,427.9,76.1,30.9,0.92,9.69,15.32
八十二銀行,6.9,0.28,0.99,0.75,161.98,67.4,35.9,1.76,15.65,16.34
北陸銀行,8.6,0.28,0.77,0.65,154.89,74.1,16.8,2.28,10.08,16.08
富山銀行,4.5,0.13,0.92,1,736.43,76.5,24.5,2.81,8.93,13.21
北國銀行,6.5,0.15,0.97,0.59,307.05,53.5,38,2.87,8.3,15.67
福井銀行,6.7,0.21,0.96,0.78,268.84,68,31.6,1.41,8.1,15.18
静岡銀行,9.2,0.51,1.07,0.94,106.7,88.6,27.4,0.87,12.55,16.57
スルガ銀行,9.1,0.67,2.51,1.79,150.32,69.2,10.6,8.6,11.27,15.05
清水銀行,3,0.06,0.97,0.83,"1,423.28",78.9,16.5,1.15,8.35,14.4
大垣共立銀行,6.4,0.18,0.82,0.72,325.7,77.8,18.7,1.3,9.31,15.68
十六銀行,7.6,0.18,0.78,0.74,278.62,78.6,20.4,1.16,10.02,15.83
三十三銀行,5.8,0.24,0.99,0.82,332.79,77,24.1,2.33,8.18,15.32
百五銀行,6,0.29,0.95,0.92,172.83,82.5,24.3,1.34,11.92,15.82
滋賀銀行,4.4,0.2,0.98,0.86,290.23,78,30.9,1.79,13.34,15.83
京都銀行,4.7,0.35,0.7,0.68,135.68,76.2,34.4,1.38,10.64,16.31
関西みらい銀行,5,0.24,0.98,0.84,296.22,91.2,10.4,1.64,11.26,16.03
池田泉州銀行,8.6,0.26,0.85,0.76,233.38,82.3,12.3,1.07,10.1,15.67
南都銀行,7.2,0.28,0.9,0.83,219.48,76,26.3,1.37,10.93,15.74
紀陽銀行,9.7,0.28,0.96,0.87,197.13,87.6,17.6,1.46,11.24,15.59
但馬銀行,4.5,0.16,0.97,0.84,441.19,85.4,15.3,1.31,8.53,14.09
鳥取銀行,3.8,0.13,1.02,0.94,712.61,86.5,10.8,1.03,8.58,13.92
山陰合同銀行,8.9,0.33,1.1,0.91,136.49,77,29.8,1.29,11.12,15.96
中国銀行,7.1,0.36,1.28,0.68,140.79,78.6,33,1.71,10.57,16.21
広島銀行,10.4,0.35,1.03,0.73,133.32,84.3,20.2,1.03,9.95,16.31
山口銀行,9.2,0.41,1.44,0.95,76.18,73.1,21.3,1.31,13.77,15.84
阿波銀行,5.4,0.42,1.06,1,176.82,72.2,30.7,1.99,10.43,15.2
百十四銀行,6.2,0.23,1.02,0.74,237.11,74.6,25.3,1.34,8.78,15.56
伊予銀行,9.6,0.61,1.32,0.96,114.31,82.4,25.7,1.59,14.19,16.03
四国銀行,6.8,0.28,1.11,1.12,249.01,70.5,33.8,2.52,8.64,15.03
福岡銀行,14,0.4,0.96,0.65,77.36,89.3,25.1,1.4,10.58,16.95
筑邦銀行,3.6,0.1,1.16,1.04,918.93,69.3,26,2.93,8.85,13.68
佐賀銀行,8.7,0.2,0.93,0.91,309.38,75.9,19.7,2.03,8.13,14.97
十八親和銀行,9.5,0.18,0.88,0.64,234.43,69.5,29.5,1.89,11.27,15.83
肥後銀行,6.6,0.15,0.89,0.83,376.82,85.1,19.9,1.22,10.92,15.74
大分銀行,5.2,0.1,1.01,0.96,571.85,63.7,37.4,1.71,9.21,15.32
宮崎銀行,7.3,0.33,1.21,0.94,179.29,75.6,24.5,1.31,9.63,15.22
