Date,Yen,10USB,10JPB
2006/1/4,116.31,4.35,1.45
2006/1/5,115.96,4.35,1.445
2006/1/6,114.45,4.37,1.45
2006/1/10,114.64,4.42,1.435
2006/1/11,113.96,4.45,1.46
2006/1/12,114.31,4.41,1.454
2006/1/13,114.43,4.35,1.459
2006/1/17,115.83,4.33,1.435
2006/1/18,115.35,4.34,1.444
2006/1/19,115.07,4.37,1.49
2006/1/20,115.42,4.36,1.48
2006/1/23,114.67,4.35,1.445
2006/1/24,114.54,4.39,1.445
2006/1/25,115.73,4.47,1.47
2006/1/26,116.27,4.52,1.514
2006/1/27,117.16,4.5,1.55
2006/1/30,117.55,4.53,1.565
2006/1/31,116.88,4.52,1.57
2006/2/1,117.85,4.56,1.56
2006/2/2,118.26,4.56,1.565
2006/2/3,118.95,4.53,1.59
2006/2/6,118.94,4.54,1.565
2006/2/7,118.01,4.56,1.578
2006/2/8,118.69,4.59,1.574
2006/2/9,118.66,4.54,1.565
2006/2/10,117.64,4.58,1.605
2006/2/13,117.63,4.58,1.559
2006/2/14,117.43,4.61,1.605
2006/2/15,117.93,4.6,1.575
2006/2/16,117.91,4.59,1.565
2006/2/17,118.43,4.54,1.52
2006/2/21,118.85,4.56,1.535
2006/2/22,118.51,4.53,1.525
2006/2/23,117,4.56,1.555
2006/2/24,116.87,4.56,1.595
2006/2/27,115.97,4.59,1.61
2006/2/28,115.82,4.54,1.595
2006/3/1,116.18,4.58,1.61
2006/3/2,116.07,4.63,1.645
2006/3/3,116.46,4.68,1.63
2006/3/6,117.46,4.73,1.645
2006/3/7,117.76,4.73,1.655
2006/3/8,117.9,4.73,1.61
2006/3/9,117.96,4.73,1.61
2006/3/10,119.07,4.75,1.66
2006/3/13,119.01,4.77,1.7
2006/3/14,117.36,4.69,1.685
2006/3/15,117.3,4.73,1.73
2006/3/16,117.13,4.64,1.735
2006/3/17,115.89,4.67,1.724
2006/3/20,116.25,4.65,1.74
2006/3/22,116.72,4.7,1.735
2006/3/23,117.6,4.73,1.724
2006/3/24,117.5,4.67,1.735
2006/3/27,116.62,4.7,1.7
2006/3/28,117.23,4.77,1.708
2006/3/29,117.8,4.81,1.78
2006/3/30,117.41,4.85,1.79
2006/3/31,117.48,4.85,1.78
2006/4/3,117.82,4.87,1.855
2006/4/4,117.44,4.87,1.855
2006/4/5,117.59,4.83,1.844
2006/4/6,117.72,4.89,1.879
2006/4/7,118.31,4.96,1.884
2006/4/10,118.66,4.96,1.884
2006/4/11,118.61,4.93,1.894
2006/4/12,118.47,4.97,1.889
2006/4/13,118.42,5.03,1.94
2006/4/17,117.68,5,1.97
2006/4/18,117.75,4.97,1.964
2006/4/19,117.58,5.02,1.889
2006/4/20,117.49,5.03,1.91
2006/4/21,116.91,5.01,1.915
2006/4/24,114.93,4.98,1.895
2006/4/25,114.83,5.07,1.925
2006/4/26,114.72,5.1,1.95
2006/4/27,114.02,5.08,1.985
2006/4/28,113.79,5.06,1.93
2006/5/1,113.06,5.13,1.889
2006/5/2,113.26,5.11,1.93
2006/5/8,111.55,5.11,1.98
2006/5/9,111.31,5.12,1.969
2006/5/10,110.55,5.12,2
2006/5/11,110.26,5.15,1.973
2006/5/12,110.49,5.18,1.994
2006/5/15,110.21,5.15,2.009
2006/5/16,110.07,5.1,1.969
2006/5/17,110.6,5.15,1.925
2006/5/18,110.89,5.07,1.95
2006/5/19,111.76,5.05,1.915
2006/5/22,111.62,5.03,1.829
2006/5/23,111.35,5.06,1.805
2006/5/24,112.8,5.03,1.835
2006/5/25,111.92,5.07,1.864
2006/5/26,112.58,5.05,1.861
2006/5/30,112.18,5.08,1.847
2006/5/31,112.26,5.11,1.84
2006/6/1,112.43,5.1,1.935
2006/6/2,111.66,4.99,1.915
2006/6/5,111.7,5.02,1.869
2006/6/6,113.26,5,1.935
2006/6/7,113.35,5.02,1.885
2006/6/8,114.22,4.99,1.865
2006/6/9,113.89,4.98,1.846
2006/6/12,114.17,4.98,1.837
2006/6/13,115.06,4.96,1.784
2006/6/14,114.85,5.05,1.78
2006/6/15,115.06,5.09,1.78
2006/6/16,115.12,5.12,1.815
2006/6/19,115.26,5.14,1.825
2006/6/20,115.02,5.15,1.868
2006/6/21,114.76,5.15,1.855
2006/6/22,115.94,5.19,1.865
2006/6/23,116.26,5.22,1.88
2006/6/26,116.38,5.23,1.91
2006/6/27,116.26,5.21,1.91
2006/6/28,116.42,5.24,1.915
2006/6/29,116.17,5.2,1.925
2006/6/30,114.51,5.13,1.93
2006/7/3,114.92,5.15,1.974
2006/7/5,115.65,5.22,1.985
2006/7/6,115.18,5.18,1.985
2006/7/7,113.98,5.13,1.96
2006/7/10,113.97,5.13,1.978
2006/7/11,114.15,5.1,1.969
2006/7/12,115.41,5.1,1.94
2006/7/13,115.45,5.07,1.916
2006/7/14,116.33,5.05,1.848
2006/7/17,117.08,5.069,1.845
2006/7/18,117.44,5.13,1.83
2006/7/19,117.08,5.059,1.85
2006/7/20,116.83,5.028,1.814
2006/7/21,116.34,5.045,1.82
2006/7/24,116.65,5.04,1.86
2006/7/25,117.3,5.065,1.88
2006/7/26,116.85,5.036,1.865
2006/7/27,115.55,5.04,1.88
2006/7/28,114.74,4.99,1.931
2006/7/31,114.44,4.988,1.929
2006/8/1,114.96,4.983,1.925
2006/8/2,114.54,4.961,1.889
2006/8/3,115.27,4.951,1.869
2006/8/4,114.21,4.901,1.875
2006/8/7,114.85,4.921,1.836
2006/8/8,115.01,4.923,1.835
2006/8/9,115.14,4.937,1.84
2006/8/10,115.59,4.927,1.9
2006/8/11,116.18,4.967,1.843
2006/8/14,116.53,5.001,1.884
2006/8/15,115.96,4.931,1.857
2006/8/16,115.71,4.871,1.84
2006/8/17,115.44,4.867,1.83
2006/8/18,115.79,4.835,1.859
2006/8/21,115.86,4.819,1.823
2006/8/22,116.61,4.811,1.805
2006/8/23,116.43,4.813,1.805
2006/8/24,116.38,4.803,1.804
2006/8/25,117.31,4.791,1.711
2006/8/28,117.15,4.797,1.685
2006/8/29,116.92,4.783,1.709
2006/8/30,117.07,4.763,1.664
2006/8/31,117.35,4.732,1.63
2006/9/1,117.21,4.726,1.65
2006/9/5,116.04,4.781,1.69
2006/9/6,116.73,4.801,1.711
2006/9/7,116.3,4.795,1.706
2006/9/8,116.89,4.771,1.729
